82,[0.4144406  0.65151843 0.88731243 0.3815871  0.49266616]
83,[  0.41220885   0.64674908   0.88739247   0.37884265 -10.        ]
84,[0.40818704 0.64290252 0.88133165 0.37498509 0.48880358]
85,[0.40663301 0.63572054 0.8737715  0.37128829 0.48386283]
86,[0.40420639 0.62867555 0.86669532 0.3695005  0.48104387]
87,[0.40006997 0.62564579 0.85764479 0.36558769 0.47677368]
88,[0.39713274 0.62122361 0.8596697  0.36196681 0.47237886]
89,[-10.           0.61514366   0.85311251   0.35959604 -10.        ]
90,[0.39159213 0.61060711 0.8446549  0.35609633 0.46322723]
91,[-10.           0.61065725   0.84490065   0.3530356    0.45911189]
92,[0.38570462 0.60854208 0.83631817 0.34951005 0.45505632]
93,[0.38432502 0.60612207 0.8285151  0.3462975  0.45286528]
94,[0.38246623 0.60186219 0.82268287 0.34510452 0.44908063]
95,[0.37873661 0.59728074 0.81787347 0.34197785 0.44602258]
96,[0.37630279 0.59254042 0.81471198 0.34045304 0.44340613]
97,[0.37372472 0.58836807 0.80705111 0.33723864 0.44083505]
98,[-10.           0.58758693   0.80418619   0.33425249   0.43890908]
99,[0.36862391 0.58512742 0.79655793 0.33218625 0.43623036]
100,[-10.           0.58124284   0.78952104   0.32927531   0.43473192]
101,[0.3667389  0.57982949 0.78349999 0.32685166 0.4340103 ]
102,[0.36444116 0.57521306 0.78816798 0.32388901 0.43355408]
103,[0.36196664 0.57333889 0.79087116 0.32114745 0.43027877]
104,[0.3594183  0.57004247 0.7861308  0.31952647 0.4297617 ]
105,[-10.           0.56502379   0.78125295   0.31674222   0.42717111]
106,[0.35621139 0.56044456 0.77453852 0.3144521  0.42435204]
107,[0.35323821 0.55890393 0.76798672 0.31352418 0.42123677]
108,[  0.35104826   0.55452625   0.7619823    0.31087804 -10.        ]
109,[0.34912616 0.55032992 0.75774737 0.30923859 0.41562119]
110,[  0.34622433   0.54610214   0.75302869   0.30668479 -10.        ]
111,[0.34333373 0.54199811 0.74660979 0.30394653 0.41455501]
112,[-10.           0.54310881   0.75226294   0.30747619 -10.        ]
113,[0.33968314 0.53986389 0.7458743  0.30514333 0.40974927]
114,[0.33874881 0.53788293 0.74258778 0.30309669 0.40665846]
115,[  0.33601063   0.5391262    0.74208655   0.30242932 -10.        ]
