,Time,class,Count,From,To
109,3:00pm - 4:00pm,others,1,North,West
110,4:00pm - 5:00pm,cars_SUV,143,North,West
111,4:00pm - 5:00pm,motorcycles_scooters,161,North,West
112,4:00pm - 5:00pm,taxi,31,North,West
113,4:00pm - 5:00pm,buses,,North,West
114,4:00pm - 5:00pm,smallTrucks,16,North,West
115,4:00pm - 5:00pm,largeTrucks,,North,West
116,4:00pm - 5:00pm,bicycle_tricycle,4,North,West
117,4:00pm - 5:00pm,jeepney,,North,West
118,4:00pm - 5:00pm,motorela,155,North,West
119,4:00pm - 5:00pm,others,,North,West
120,5:00pm - 6:00pm,cars_SUV,151,North,West
121,5:00pm - 6:00pm,motorcycles_scooters,191,North,West
122,5:00pm - 6:00pm,taxi,27,North,West
123,5:00pm - 6:00pm,buses,,North,West
124,5:00pm - 6:00pm,smallTrucks,9,North,West
125,5:00pm - 6:00pm,largeTrucks,,North,West
126,5:00pm - 6:00pm,bicycle_tricycle,5,North,West
127,5:00pm - 6:00pm,jeepney,,North,West
128,5:00pm - 6:00pm,motorela,157,North,West
129,5:00pm - 6:00pm,others,,North,West
130,6:00pm - 7:00pm,cars_SUV,131,North,West
131,6:00pm - 7:00pm,motorcycles_scooters,168,North,West
132,6:00pm - 7:00pm,taxi,24,North,West
133,6:00pm - 7:00pm,buses,1,North,West
134,6:00pm - 7:00pm,smallTrucks,4,North,West
135,6:00pm - 7:00pm,largeTrucks,,North,West
136,6:00pm - 7:00pm,bicycle_tricycle,8,North,West
137,6:00pm - 7:00pm,jeepney,,North,West
138,6:00pm - 7:00pm,motorela,156,North,West
139,6:00pm - 7:00pm,others,1,North,West
140,7:00pm - 8:00pm,cars_SUV,87,North,West
141,7:00pm - 8:00pm,motorcycles_scooters,83,North,West
142,7:00pm - 8:00pm,taxi,19,North,West
143,7:00pm - 8:00pm,buses,1,North,West
144,7:00pm - 8:00pm,smallTrucks,1,North,West
145,7:00pm - 8:00pm,largeTrucks,,North,West
146,7:00pm - 8:00pm,bicycle_tricycle,4,North,West
147,7:00pm - 8:00pm,jeepney,,North,West
148,7:00pm - 8:00pm,motorela,124,North,West
149,7:00pm - 8:00pm,others,,North,West
150,5:00am - 6:00am,cars_SUV,27,North,South
151,5:00am - 6:00am,motorcycles_scooters,18,North,South
152,5:00am - 6:00am,taxi,15,North,South
153,5:00am - 6:00am,buses,1,North,South
154,5:00am - 6:00am,smallTrucks,1,North,South
